corpus,document,doc_type,tier,field,field_type,predicted_value,truth_value,grounding_score,extraction_score,correct,min_score
generated,id_card_01,id_card,t0,full_name,text,ROWAN ELISE MARCHETTI,ROWAN ELISE MARCHETTI,0.995,0.995,True,0.995
generated,id_card_01,id_card,t0,document_number,id,T6245512,T6245512,0.995,0.995,True,0.995
generated,id_card_01,id_card,t0,date_of_birth,date,1969-07-09,1969-07-09,0.97,0.985,True,0.97
generated,id_card_01,id_card,t0,nationality,text,Maltese,Maltese,0.995,0.995,True,0.995
generated,id_card_01,id_card,t0,sex,code,F,F,0.995,0.995,True,0.995
generated,id_card_01,id_card,t0,place_of_birth,text,"Valletta, Malta","Valletta, Malta",0.995,0.995,True,0.995
generated,id_card_01,id_card,t0,issue_date,date,2024-05-18,2024-05-18,0.97,0.985,True,0.97
generated,id_card_01,id_card,t0,expiry_date,date,,2034-05-18,0.0,0.995,False,0.0
generated,id_card_01,id_card,t0,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.995,0.995,True,0.995
generated,id_card_01,id_card,t1,full_name,text,ROWAN ELISE MARCHETTI,ROWAN ELISE MARCHETTI,0.99,0.99,True,0.99
generated,id_card_01,id_card,t1,document_number,id,T6245512,T6245512,0.99,0.99,True,0.99
generated,id_card_01,id_card,t1,date_of_birth,date,1969-07-09,1969-07-09,0.98,0.98,True,0.98
generated,id_card_01,id_card,t1,nationality,text,Maltese,Maltese,0.99,0.99,True,0.99
generated,id_card_01,id_card,t1,sex,code,F,F,0.99,0.99,True,0.99
generated,id_card_01,id_card,t1,place_of_birth,text,"Valletta, Malta","Valletta, Malta",0.98,0.98,True,0.98
generated,id_card_01,id_card,t1,issue_date,date,2024-05-18,2024-05-18,0.98,0.98,True,0.98
generated,id_card_01,id_card,t1,expiry_date,date,2034-05-18,2034-05-18,0.05,0.08,True,0.05
generated,id_card_01,id_card,t1,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.99,0.98,True,0.98
generated,id_card_01,id_card,t2,full_name,text,ROWAN ELISE MARCHETTI,ROWAN ELISE MARCHETTI,0.82,0.86,True,0.82
generated,id_card_01,id_card,t2,document_number,id,T6245512,T6245512,0.76,0.8,True,0.76
generated,id_card_01,id_card,t2,date_of_birth,date,1969-07-09,1969-07-09,0.73,0.78,True,0.73
generated,id_card_01,id_card,t2,nationality,text,Maltese,Maltese,0.72,0.84,True,0.72
generated,id_card_01,id_card,t2,sex,code,F,F,0.71,0.9,True,0.71
generated,id_card_01,id_card,t2,place_of_birth,text,"Valletta, Malta","Valletta, Malta",0.74,0.86,True,0.74
generated,id_card_01,id_card,t2,issue_date,date,2024-05-18,2024-05-18,0.75,0.8,True,0.75
generated,id_card_01,id_card,t2,expiry_date,date,,2034-05-18,0.0,0.0,False,0.0
generated,id_card_01,id_card,t2,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.93,0.82,True,0.82
generated,id_card_01,id_card,t3,full_name,text,ROWAN ELISE MARCHETTI,ROWAN ELISE MARCHETTI,0.83,0.86,True,0.83
generated,id_card_01,id_card,t3,document_number,id,T6245512,T6245512,0.78,0.8,True,0.78
generated,id_card_01,id_card,t3,date_of_birth,date,1969-07-09,1969-07-09,0.74,0.78,True,0.74
generated,id_card_01,id_card,t3,nationality,text,Maltese,Maltese,0.82,0.9,True,0.82
generated,id_card_01,id_card,t3,sex,code,F,F,0.72,0.84,True,0.72
generated,id_card_01,id_card,t3,place_of_birth,text,"Valletta, Malta","Valletta, Malta",0.8,0.88,True,0.8
generated,id_card_01,id_card,t3,issue_date,date,2024-05-16,2024-05-18,0.76,0.8,False,0.76
generated,id_card_01,id_card,t3,expiry_date,date,,2034-05-18,0.0,0.0,False,0.0
generated,id_card_01,id_card,t3,issuing_authority,text,MINISTRY OF THE INTERIOR,Ministry of the Interior,0.18,0.22,True,0.18
generated,id_card_02,id_card,t0,full_name,text,DEVRAJ SINGH KHURANA,DEVRAJ SINGH KHURANA,0.998,0.998,True,0.998
generated,id_card_02,id_card,t0,document_number,id,T3872757,T3872757,0.998,0.998,True,0.998
generated,id_card_02,id_card,t0,date_of_birth,date,1993-11-18,1993-11-18,0.96,0.97,True,0.96
generated,id_card_02,id_card,t0,nationality,text,Indian,Indian,0.998,0.998,True,0.998
